property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 4,0.67,8557,3,2,1,1,Moderately Old,783.0,0,0,0,1,1,0,19
flat,zara aavaas,sector 104,0.65,8519,3,2,2,7,New Property,848.0,0,0,0,0,0,0,65
house,DLF New Town Heights 24.0 ?,sector 86,2.47,7719,4,4,3+,0,Moderately Old,2800.0,0,1,0,1,0,2,130
flat,shree vardhman victoria,sector 70,1.65,8462,3,4,3,5,Relatively New,1527.0,0,1,0,0,1,2,49
flat,central park resort belgravia residences,sector 48,6.25,24300,3,5,3+,5,Moderately Old,3200.0,0,1,0,0,0,2,49
flat,gls avenue 51,sector 92,0.5,7812,3,3,1,12,New Property,711.0,0,0,0,0,0,1,95
house,independent,sector 56,3.25,21495,5,6,3+,4,Relatively New,1512.0,0,0,0,1,1,2,27
flat,signature global synera,sector 81,0.38,9500,1,1,2,3,Relatively New,444.0,0,0,0,0,0,0,43
flat,the close south,sector 50,3.25,12810,3,4,3+,4,Old Property,2819.0,0,1,0,0,0,2,135
house,independent,sector 4,0.65,10317,1,1,1,1,Moderately Old,70.0,0,0,0,0,1,0,21
house,International City by Sobha Phase 1,sector 109,6.0,9634,4,5,3,2,Moderately Old,6228.0,0,0,0,0,0,0,76
flat,dnha cghs,sector 1,0.85,3864,3,3,0,5,Moderately Old,2200.0,0,0,0,0,0,0,0
house,International City by SOBHA Phase 2,sector 109,11.25,25000,7,5,3+,4,Relatively New,4500.0,1,1,0,1,0,0,42
flat,rof ananda,sector 95,0.38,5901,2,2,2,5,Relatively New,716.0,1,0,0,0,0,0,83
flat,ss the leaf,sector 83,1.19,7225,2,2,3,4,Relatively New,1630.0,0,0,0,0,0,0,49
flat,emaar mgf emerald floors premier,sector 65,2.35,14242,3,3,3,3,Relatively New,1833.0,1,1,0,0,0,2,124
flat,indiabulls centrum park,sector 103,2.14,7443,4,6,3+,7,Relatively New,2718.0,0,1,0,0,0,0,142
flat,green court,sector 90,0.47,6812,2,2,1,0,New Property,767.0,0,0,0,0,0,0,49
flat,ss,sector 85,1.19,7121,2,2,3,11,Relatively New,1670.0,0,0,0,0,0,0,49
flat,vatika independent floors,sector 82,1.16,6988,3,3,3+,1,Relatively New,1844.0,0,1,1,1,0,2,151
house,Hero Homes,sector 104,1.95,21196,3,5,3+,2,Moderately Old,920.0,0,0,0,0,0,0,0
flat,eldeco accolade,sohna road,0.78,6171,2,2,2,3,Relatively New,1144.0,0,0,0,0,0,0,72
flat,paras dews,sector 106,1.14,6000,3,4,3,8,Relatively New,1305.0,1,1,0,0,0,0,49
flat,milan cghs 9,sector 39,2.0,8333,3,3,3+,0,Old Property,2400.0,0,0,0,0,0,0,0
house,independent,sector 39,15.0,33333,5,5,3+,4,Moderately Old,4500.0,0,1,0,0,0,2,27
flat,shapoorji pallonji joyville gurugram,sector 102,1.75,15514,3,3,3+,1,Relatively New,1465.0,0,0,0,0,0,0,49
flat,tata primanti,sector 72,5.25,15648,4,4,3+,30,New Property,3000.0,0,1,0,0,0,2,174
